"","sampleNo","pop","testatus_i_rdsIest","testatus_s_rdsIest","testatus_i_rdsIIest","testatus_s_rdsIIest","testatus_i_rdsIse","testatus_s_rdsIse","testatus_i_rdsIIse","testatus_s_rdsIIse","testatus_i_rdsI95low","testatus_s_rdsI95low","testatus_i_rdsII95low","testatus_s_rdsII95low","testatus_i_rdsI95high","testatus_s_rdsI95high","testatus_i_rdsII95high","testatus_s_rdsII95high","testatus_i_true","testatus_s_true","blk_0_rdsIest","blk_1_rdsIest","blk_0_rdsIIest","blk_1_rdsIIest","blk_0_rdsIse","blk_1_rdsIse","blk_0_rdsIIse","blk_1_rdsIIse","blk_0_rdsI95low","blk_1_rdsI95low","blk_0_rdsII95low","blk_1_rdsII95low","blk_0_rdsI95high","blk_1_rdsI95high","blk_0_rdsII95high","blk_1_rdsII95high","blk_0_true","blk_1_true"
"11",10,"simulationRuns/smallerTest/data/0.25 hom_nbd, 0.25 hom_blk, run 1",0.190658880887563,0.809341119112438,0.197127186715649,0.802872813284351,0.0288942232962035,0.0288942232962035,0.0473353813736684,0.0473353813736684,0.134026203227004,0.752708441451879,0.104349839223259,0.710095465791961,0.247291558548121,0.865973796772996,0.289904534208039,0.895650160776742,0.204,0.796,0.556746337672394,0.443253662327606,0.55288400293341,0.44711599706659,0.0408220640625195,0.0408220640625195,0.0740635810166831,0.0740635810166831,0.476735092109855,0.363242416765068,0.407719384140711,0.301951378273892,0.636757583234932,0.523264907890145,0.698048621726108,0.592280615859289,0.495,0.505
"12",11,"simulationRuns/smallerTest/data/0.25 hom_nbd, 0.25 hom_blk, run 1",0.271289745460745,0.728710254539255,0.269514887093259,0.73048511290674,0.0354061934942925,0.0354061934942925,0.0415235272272278,0.0415235272272278,0.201893606211931,0.659314115290442,0.188128773727893,0.649098999541374,0.340685884709558,0.798106393788068,0.350901000458626,0.811871226272107,0.204,0.796,0.42995556157539,0.57004443842461,0.425434823544534,0.574565176455466,0.0429667048040778,0.0429667048040778,0.0657740026123655,0.0657740026123655,0.345740820159397,0.485829697008618,0.296517778424297,0.44564813133523,0.514170302991382,0.654259179840603,0.55435186866477,0.703482221575703,0.495,0.505
"13",12,"simulationRuns/smallerTest/data/0.25 hom_nbd, 0.25 hom_blk, run 1",0.172850409188172,0.827149590811828,0.188638401997027,0.811361598002973,0.026898755604792,0.026898755604792,0.0435035805275224,0.0435035805275223,0.12012884820278,0.774428029826435,0.103371384163083,0.726094580169029,0.225571970173565,0.87987115179722,0.273905419830971,0.896628615836917,0.204,0.796,0.554046265552171,0.445953734447829,0.566438220715209,0.433561779284791,0.0423820001866828,0.0423820001866828,0.0823834950002727,0.0823834950002727,0.470977545186272,0.362885014081931,0.404966570514674,0.272090129084257,0.637114985918069,0.529022454813728,0.727909870915743,0.595033429485326,0.495,0.505
"14",13,"simulationRuns/smallerTest/data/0.25 hom_nbd, 0.25 hom_blk, run 1",0.174254350522936,0.825745649477064,0.177414692552555,0.822585307447445,0.0320345296746613,0.0320345296746613,0.0502166141010014,0.0502166141010014,0.1114666723606,0.762957971314728,0.0789901289145927,0.724160743809482,0.237042028685272,0.8885333276394,0.275839256190518,0.921009871085407,0.204,0.796,0.523125585863114,0.476874414136886,0.519674967341746,0.480325032658254,0.0420821996875647,0.0420821996875647,0.0898142773155911,0.0898142773155911,0.440644474475487,0.394393302749259,0.343638983803187,0.304289049119696,0.605606697250741,0.559355525524513,0.695710950880304,0.656361016196813,0.495,0.505
"15",14,"simulationRuns/smallerTest/data/0.25 hom_nbd, 0.25 hom_blk, run 1",0.281678528409894,0.718321471590106,0.281236582740518,0.718763417259482,0.0369698478105711,0.036969847810571,0.0526562777972986,0.0526562777972986,0.209217626701175,0.645860569881386,0.178030278257813,0.615557112776776,0.354139430118614,0.790782373298825,0.384442887223224,0.821969721742187,0.204,0.796,0.484020272494439,0.515979727505561,0.488183760000734,0.511816239999266,0.0422472262373306,0.0422472262373305,0.0817212682082079,0.0817212682082079,0.401215709069271,0.433175164080394,0.328010074312647,0.351642554311178,0.566824835919606,0.598784290930729,0.648357445688822,0.671989925687353,0.495,0.505
"16",15,"simulationRuns/smallerTest/data/0.25 hom_nbd, 0.25 hom_blk, run 1",0.182942141806156,0.817057858193844,0.163766731792622,0.836233268207378,0.0396233126278271,0.0396233126278271,0.0403970795724426,0.0403970795724426,0.105280449055615,0.739396165443303,0.0845884558306342,0.757054992245391,0.260603834556697,0.894719550944385,0.242945007754609,0.915411544169366,0.204,0.796,0.506540430101039,0.493459569898961,0.509126871268871,0.490873128731129,0.0420520061326584,0.0420520061326585,0.0653896109718115,0.0653896109718115,0.424118498081029,0.41103763787895,0.380963233764121,0.362709491226378,0.58896236212105,0.575881501918971,0.637290508773622,0.619036766235879,0.495,0.505
"17",16,"simulationRuns/smallerTest/data/0.25 hom_nbd, 0.25 hom_blk, run 1",0.170465222566247,0.829534777433753,0.159216158621329,0.840783841378671,0.0302632935212676,0.0302632935212675,0.0376779658029942,0.0376779658029942,0.111149167264562,0.770218722132069,0.08536734564746,0.766935028404803,0.229781277867931,0.888850832735438,0.233064971595197,0.91463265435254,0.204,0.796,0.536489970512747,0.463510029487253,0.544323172426573,0.455676827573427,0.0430964780926449,0.0430964780926449,0.0859209297956059,0.0859209297956058,0.452020873451163,0.379040932425669,0.375918150027185,0.28727180517404,0.620959067574331,0.547979126548837,0.71272819482596,0.624081849972815,0.495,0.505
"18",17,"simulationRuns/smallerTest/data/0.25 hom_nbd, 0.25 hom_blk, run 1",0.169953189353073,0.830046810646927,0.163146918606038,0.836853081393962,0.0262534132750832,0.0262534132750832,0.0379607902466099,0.0379607902466099,0.11849649933391,0.778590120627764,0.0887437697226829,0.762449932510606,0.221409879372236,0.88150350066609,0.237550067489394,0.911256230277317,0.204,0.796,0.519628713661874,0.480371286338126,0.514012462560485,0.485987537439515,0.0418290969824109,0.0418290969824108,0.0588450572302008,0.0588450572302008,0.437643683576349,0.3983862562526,0.398676150389292,0.370651225268321,0.6016137437474,0.562356316423651,0.629348774731679,0.601323849610708,0.495,0.505
"19",18,"simulationRuns/smallerTest/data/0.25 hom_nbd, 0.25 hom_blk, run 1",0.234086963931896,0.765913036068105,0.254582481097961,0.745417518902039,0.0312987198100443,0.0312987198100442,0.0567835687942883,0.0567835687942883,0.172741473104209,0.704567545240418,0.143286686261156,0.634121724065234,0.295432454759582,0.827258526895791,0.365878275934766,0.856713313738844,0.204,0.796,0.48617797098217,0.513822029017831,0.482226161971173,0.517773838028827,0.0417822133304943,0.0417822133304943,0.0689074503053929,0.0689074503053929,0.404284832854401,0.431928890890062,0.347167559372602,0.382715235430257,0.568071109109938,0.595715167145599,0.617284764569743,0.652832440627398,0.495,0.505
"20",19,"simulationRuns/smallerTest/data/0.25 hom_nbd, 0.25 hom_blk, run 1",0.126828900178558,0.873171099821442,0.127679461592996,0.872320538407004,0.0185117280939242,0.0185117280939242,0.0336001597686008,0.0336001597686008,0.0905459131144663,0.836888112757351,0.0618231484465384,0.806464225260546,0.163111887242649,0.909454086885534,0.193535774739454,0.938176851553462,0.204,0.796,0.543087166401905,0.456912833598095,0.521823356122954,0.478176643877046,0.0421604095787857,0.0421604095787857,0.0810152827496068,0.0810152827496068,0.460452763627486,0.374278430823675,0.363033401933724,0.319386689687817,0.625721569176325,0.539547236372514,0.680613310312183,0.636966598066276,0.495,0.505
