"","sim_i","t","out","in"
"437",1,1,710,72
"438",1,1,714,72
"439",1,1,405,73
"440",1,1,689,73
"441",1,1,730,73
"442",1,1,745,73
"443",1,1,750,73
"444",1,1,889,73
"445",1,1,922,73
"446",1,1,926,73
"447",1,1,949,73
"448",1,1,92,74
"449",1,1,348,74
"450",1,1,516,74
"451",1,1,609,74
"452",1,1,653,74
"453",1,1,730,74
"454",1,1,929,74
"455",1,1,988,74
"456",1,1,250,75
"457",1,1,720,75
"458",1,1,974,75
"459",1,1,132,76
"460",1,1,147,76
"461",1,1,663,76
"462",1,1,875,76
"463",1,1,131,77
"464",1,1,217,77
"465",1,1,360,77
"466",1,1,400,77
"467",1,1,607,77
"468",1,1,824,77
"469",1,1,875,77
"470",1,1,879,77
"471",1,1,881,77
"472",1,1,112,78
"473",1,1,362,78
"474",1,1,410,78
"475",1,1,963,78
"476",1,1,704,79
"477",1,1,914,79
"478",1,1,179,80
"479",1,1,457,80
"480",1,1,562,80
"481",1,1,618,80
"482",1,1,717,80
"483",1,1,796,80
"484",1,1,187,81
"485",1,1,223,81
"486",1,1,278,81
"487",1,1,361,81
"488",1,1,691,81
"489",1,1,894,81
"490",1,1,932,81
"491",1,1,941,81
"492",1,1,344,82
"493",1,1,558,82
"494",1,1,616,82
"495",1,1,701,82
"496",1,1,709,82
"497",1,1,764,82
"498",1,1,805,82
"499",1,1,816,82
"500",1,1,821,82
"501",1,1,109,83
"502",1,1,274,83
"503",1,1,370,83
"504",1,1,506,83
"505",1,1,860,83
"506",1,1,102,84
"507",1,1,133,84
"508",1,1,134,84
"509",1,1,325,84
"510",1,1,420,84
"511",1,1,522,84
"512",1,1,765,84
"513",1,1,87,85
"514",1,1,118,85
"515",1,1,158,85
"516",1,1,290,85
"517",1,1,620,85
"518",1,1,722,85
"519",1,1,884,85
"520",1,1,354,86
"521",1,1,464,86
"522",1,1,535,86
"523",1,1,705,86
"524",1,1,708,86
"525",1,1,784,86
"526",1,1,846,86
"527",1,1,925,86
"528",1,1,947,86
"529",1,1,346,87
"530",1,1,640,87
"531",1,1,736,87
"532",1,1,780,87
"533",1,1,961,87
"534",1,1,180,88
"535",1,1,184,88
"536",1,1,325,88
"537",1,1,340,88
"538",1,1,604,88
"539",1,1,810,88
"540",1,1,921,88
"541",1,1,944,88
"542",1,1,240,89
"543",1,1,433,89
