"","sim_i","t","out","in"
"105",1,1,66,22
"106",1,1,30,23
"107",1,1,40,23
"108",1,1,57,23
"109",1,1,66,23
"110",1,1,67,23
"111",1,1,92,23
"112",1,1,31,24
"113",1,1,74,24
"114",1,1,87,24
"115",1,1,63,25
"116",1,1,67,25
"117",1,1,73,25
"118",1,1,93,25
"119",1,1,31,26
"120",1,1,34,26
"121",1,1,37,26
"122",1,1,43,26
"123",1,1,53,26
"124",1,1,88,26
"125",1,1,35,27
"126",1,1,47,27
"127",1,1,68,27
"128",1,1,79,27
"129",1,1,94,27
"130",1,1,96,27
"131",1,1,59,28
"132",1,1,82,28
"133",1,1,84,28
"134",1,1,85,28
"135",1,1,31,29
"136",1,1,45,29
"137",1,1,59,29
"138",1,1,62,29
"139",1,1,89,29
"140",1,1,100,29
"141",1,1,32,30
"142",1,1,38,30
"143",1,1,58,30
"144",1,1,70,30
"145",1,1,94,30
