"","sampleNo","pop","testatus_i_rdsIest","testatus_s_rdsIest","testatus_i_rdsIIest","testatus_s_rdsIIest","testatus_i_rdsIse","testatus_s_rdsIse","testatus_i_rdsIIse","testatus_s_rdsIIse","testatus_i_true","testatus_s_true","blk_0_rdsIest","blk_1_rdsIest","blk_0_rdsIIest","blk_1_rdsIIest","blk_0_rdsIse","blk_1_rdsIse","blk_0_rdsIIse","blk_1_rdsIIse","blk_0_true","blk_1_true"
"15",14,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.120347347164476,0.879652652835524,0.116166633596016,0.883833366403984,0.0190512490899931,0.0190512490899931,0.0288140818958039,0.0288140818958039,0.11,0.89,0.471793547916554,0.528206452083446,0.480581753959925,0.519418246040075,0.0335591838715482,0.0335591838715482,0.0691438968494559,0.0691438968494559,0.51,0.49
"16",15,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.110489721379203,0.889510278620797,0.116866810062701,0.883133189937299,0.0168144722284538,0.0168144722284538,0.0300427635631187,0.0300427635631187,0.11,0.89,0.528295787263409,0.471704212736591,0.547153753457279,0.452846246542721,0.0346324303635219,0.0346324303635219,0.0560658879137507,0.0560658879137507,0.51,0.49
"17",16,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.126644304043407,0.873355695956593,0.123578629805071,0.876421370194929,0.022162593822885,0.022162593822885,0.0304913660987082,0.0304913660987082,0.11,0.89,0.494456902310126,0.505543097689874,0.512925817190009,0.487074182809991,0.0346918592696889,0.0346918592696889,0.0519236914914934,0.0519236914914934,0.51,0.49
"18",17,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.108709214402565,0.891290785597435,0.10702277283024,0.89297722716976,0.0194205692769291,0.0194205692769291,0.0195803466863402,0.0195803466863402,0.11,0.89,0.553635555388173,0.446364444611827,0.549503697448415,0.450496302551585,0.0340090123661095,0.0340090123661095,0.0629559306645253,0.0629559306645254,0.51,0.49
"19",18,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.0624550263901673,0.937544973609833,0.0671304037867788,0.932869596213221,0.0135710912973796,0.0135710912973796,0.0195174230308939,0.0195174230308939,0.11,0.89,0.549057286582313,0.450942713417687,0.53815557034948,0.46184442965052,0.0475082971835698,0.0475082971835698,0.0867128289214255,0.0867128289214255,0.51,0.49
"20",19,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.119317017040918,0.880682982959082,0.130960533832568,0.869039466167432,0.0200425128969173,0.0200425128969173,0.0318963370852062,0.0318963370852062,0.11,0.89,0.525914558343246,0.474085441656754,0.530675928666313,0.469324071333687,0.0344161607950619,0.0344161607950619,0.0610821025432585,0.0610821025432586,0.51,0.49
"21",20,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.103318724339107,0.896681275660893,0.100039261958063,0.899960738041937,0.0176829904820293,0.0176829904820294,0.0226753320248944,0.0226753320248944,0.11,0.89,0.522620774816009,0.477379225183991,0.536091477254481,0.463908522745519,0.0356234485274355,0.0356234485274355,0.0567162432750601,0.0567162432750601,0.51,0.49
"22",21,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.102052508450844,0.897947491549156,0.0980178695666045,0.901982130433396,0.0202974455827224,0.0202974455827224,0.0291555835094387,0.0291555835094387,0.11,0.89,0.499613649760076,0.500386350239924,0.491722605846929,0.508277394153071,0.0341582528704437,0.0341582528704436,0.0643027403292502,0.0643027403292502,0.51,0.49
"23",22,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.108945085988271,0.891054914011729,0.125330026858764,0.874669973141236,0.0153479849423774,0.0153479849423774,0.0299255378133302,0.0299255378133302,0.11,0.89,0.460140909620494,0.539859090379506,0.466412955263116,0.533587044736884,0.0331615947880048,0.0331615947880048,0.0703406017232348,0.0703406017232348,0.51,0.49
"24",23,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.100675185696724,0.899324814303276,0.103553086502635,0.896446913497365,0.0181567942049676,0.0181567942049676,0.0342236548750784,0.0342236548750784,0.11,0.89,0.499833581923779,0.500166418076221,0.511853132377788,0.488146867622212,0.0339256618691143,0.0339256618691143,0.0479885275584759,0.0479885275584759,0.51,0.49
"25",24,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.0842902822384346,0.915709717761565,0.0971433936469734,0.902856606353027,0.0150428538725481,0.0150428538725481,0.0208699858896128,0.0208699858896128,0.11,0.89,0.507554372651723,0.492445627348277,0.51225470271211,0.48774529728789,0.0343552111059951,0.0343552111059951,0.0463018602998551,0.0463018602998551,0.51,0.49
