"","sampleNo","pop","testatus_i_rdsIest","testatus_s_rdsIest","testatus_i_rdsIIest","testatus_s_rdsIIest","testatus_i_rdsIse","testatus_s_rdsIse","testatus_i_rdsIIse","testatus_s_rdsIIse","testatus_i_rdsI95low","testatus_s_rdsI95low","testatus_i_rdsII95low","testatus_s_rdsII95low","testatus_i_rdsI95high","testatus_s_rdsI95high","testatus_i_rdsII95high","testatus_s_rdsII95high","testatus_i_true","testatus_s_true","blk_0_rdsIest","blk_1_rdsIest","blk_0_rdsIIest","blk_1_rdsIIest","blk_0_rdsIse","blk_1_rdsIse","blk_0_rdsIIse","blk_1_rdsIIse","blk_0_rdsI95low","blk_1_rdsI95low","blk_0_rdsII95low","blk_1_rdsII95low","blk_0_rdsI95high","blk_1_rdsI95high","blk_0_rdsII95high","blk_1_rdsII95high","blk_0_true","blk_1_true"
"11",10,"simulationRuns/sim_6//data/epi_2000-0.25-0.5_1",0.242043865033257,0.757956134966743,0.257605431518475,0.742394568481525,0.043646216728137,0.043646216728137,0.0694415594988632,0.0694415594988632,0.156497280246109,0.672409550179594,0.121499974900703,0.606289111863753,0.327590449820406,0.843502719753891,0.393710888136247,0.878500025099297,0.2055,0.7945,0.412765352181167,0.587234647818833,0.414097327140805,0.585902672859195,0.0582202958926482,0.0582202958926482,0.125412264896007,0.125412264896007,0.298653572231576,0.473122867869243,0.168289287944633,0.340094633663022,0.526877132130757,0.701346427768424,0.659905366336978,0.831710712055368,0.484,0.516
"12",11,"simulationRuns/sim_6//data/epi_2000-0.25-0.5_1",0.272232570262487,0.727767429737513,0.273893660976405,0.726106339023595,0.0527814980168263,0.0527814980168263,0.0680470160875729,0.0680470160875729,0.168780834149508,0.624315693624533,0.140521509444763,0.592734187491952,0.375684306375467,0.831219165850492,0.407265812508048,0.859478490555238,0.2055,0.7945,0.496963114351898,0.503036885648102,0.477934887917702,0.522065112082298,0.0629346367809687,0.0629346367809687,0.087189798992415,0.087189798992415,0.3736112262612,0.379684997557403,0.307042881892569,0.351173106057165,0.620315002442597,0.626388773738801,0.648826893942835,0.692957118107431,0.484,0.516
"13",12,"simulationRuns/sim_6//data/epi_2000-0.25-0.5_1",0.214055867581228,0.785944132418772,0.222416187912951,0.777583812087049,0.0450880232355387,0.0450880232355388,0.0562932426764767,0.0562932426764768,0.125683342039572,0.697571606877116,0.112081432267057,0.667249056441154,0.302428393122884,0.874316657960428,0.332750943558846,0.887918567732943,0.2055,0.7945,0.445612498865624,0.554387501134376,0.470166923930556,0.529833076069444,0.0583334905254618,0.0583334905254618,0.0808621231403288,0.0808621231403288,0.331278857435719,0.440053859704471,0.311677162575512,0.371343314714399,0.559946140295529,0.668721142564281,0.628656685285601,0.688322837424488,0.484,0.516
"14",13,"simulationRuns/sim_6//data/epi_2000-0.25-0.5_1",0.112125578998511,0.887874421001489,0.124660141381185,0.875339858618815,0.0282932670757908,0.0282932670757908,0.033705913211692,0.033705913211692,0.0566707755299613,0.832419617532939,0.058596551486269,0.809276268723898,0.167580382467061,0.943329224470039,0.190723731276102,0.941403448513731,0.2055,0.7945,0.490213975995803,0.509786024004197,0.493185834692768,0.506814165307232,0.0585883001451026,0.0585883001451026,0.0860308809045372,0.0860308809045372,0.375380907711402,0.394952955719796,0.324565308119875,0.338193638734339,0.605047044280204,0.624619092288598,0.661806361265661,0.675434691880125,0.484,0.516
"15",14,"simulationRuns/sim_6//data/epi_2000-0.25-0.5_1",0.251634904407218,0.748365095592782,0.23167747056489,0.76832252943511,0.0550713575732721,0.0550713575732721,0.0990150381312948,0.0990150381312948,0.143695043563605,0.640425234749169,0.0376079958275518,0.574253054697773,0.359574765250831,0.856304956436395,0.425746945302227,0.962392004172448,0.2055,0.7945,0.461998226928002,0.538001773071998,0.478535520571504,0.521464479428496,0.0603991106905069,0.0603991106905069,0.0966619709054218,0.0966619709054218,0.343615969974609,0.419619516118604,0.289078057596877,0.332007016453869,0.580380483881396,0.656384030025391,0.667992983546131,0.710921942403123,0.484,0.516
"16",15,"simulationRuns/sim_6//data/epi_2000-0.25-0.5_1",0.172982718541483,0.827017281458517,0.166878025255863,0.833121974744137,0.037303877773591,0.037303877773591,0.0490287400434033,0.0490287400434033,0.0998671181052446,0.753901681022279,0.0707816947707926,0.737025644259067,0.246098318977721,0.900132881894755,0.262974355740933,0.929218305229207,0.2055,0.7945,0.372877124517939,0.627122875482061,0.398253165913516,0.601746834086484,0.056977893013692,0.056977893013692,0.0737719113281395,0.0737719113281395,0.261200454211103,0.515446205175225,0.253660219710362,0.457153887883331,0.484553794824775,0.738799545788897,0.542846112116669,0.746339780289638,0.484,0.516
"17",16,"simulationRuns/sim_6//data/epi_2000-0.25-0.5_1",0.0876054321544627,0.912394567845537,0.0837832624764674,0.916216737523533,0.0217896873215308,0.0217896873215308,0.0264615104081268,0.0264615104081268,0.0448976450042622,0.869686780695337,0.0319187020765389,0.864352177123604,0.130313219304663,0.955102354995738,0.135647822876396,0.968081297923461,0.2055,0.7945,0.511532709572028,0.488467290427972,0.503640082190776,0.496359917809224,0.068591566541139,0.068591566541139,0.108164138398418,0.108164138398418,0.377093239151396,0.354027820007339,0.291638370929876,0.284358206548324,0.645972179992661,0.622906760848604,0.715641793451676,0.708361629070124,0.484,0.516
"18",17,"simulationRuns/sim_6//data/epi_2000-0.25-0.5_1",0.300483319075579,0.699516680924422,0.286051323225149,0.713948676774851,0.0674288892793071,0.0674288892793071,0.0805110813538064,0.0805110813538064,0.168322696088137,0.56735605793698,0.128249603771688,0.55614695732139,0.43264394206302,0.831677303911863,0.443853042678609,0.871750396228312,0.2055,0.7945,0.502164377417306,0.497835622582694,0.47603680943705,0.52396319056295,0.0757177803102083,0.0757177803102083,0.114015943842515,0.114015943842515,0.353757528009297,0.349428773174686,0.252565559505721,0.30049194063162,0.650571226825314,0.646242471990703,0.69950805936838,0.74743444049428,0.484,0.516
"19",18,"simulationRuns/sim_6//data/epi_2000-0.25-0.5_1",0.13976681234171,0.86023318765829,0.121804482374198,0.878195517625802,0.0426076121000533,0.0426076121000532,0.0447365769159203,0.0447365769159203,0.0562558926256058,0.776722267942185,0.0341207916189937,0.790511826870599,0.223277732057815,0.943744107374394,0.209488173129401,0.965879208381006,0.2055,0.7945,0.543481767530852,0.456518232469148,0.546438319301887,0.453561680698112,0.0575316042369468,0.0575316042369468,0.122446794661301,0.122446794661301,0.430719823226436,0.343756288164732,0.306442601765738,0.213565963161963,0.656243711835268,0.569280176773564,0.786434036838037,0.693557398234262,0.484,0.516
"20",19,"simulationRuns/sim_6//data/epi_2000-0.25-0.5_1",0.277767112928617,0.722232887071383,0.292421561784804,0.707578438215196,0.0746115263909397,0.0746115263909397,0.0784251522392604,0.0784251522392604,0.131528521202375,0.575994295345142,0.138708263395854,0.553865139826245,0.424005704654858,0.868471478797625,0.446134860173755,0.861291736604146,0.2055,0.7945,0.608988720580508,0.391011279419492,0.613270788358844,0.386729211641156,0.0739461775714847,0.0739461775714847,0.0891245251911717,0.0891245251911718,0.464054212540398,0.246076771379382,0.438586718984147,0.21204514226646,0.753923228620618,0.535945787459602,0.78795485773354,0.561413281015853,0.484,0.516
