,sim_i,t,source,target
27946,1,19,2926,324
27947,1,19,2176,325
27948,1,19,2485,327
27949,1,19,1862,330
27950,1,19,1955,330
27951,1,19,2463,330
27952,1,19,2775,330
27953,1,19,2002,331
27954,1,19,2783,331
27955,1,19,1661,333
27956,1,19,1549,334
27957,1,19,686,335
27958,1,19,2861,335
27959,1,19,2924,335
27960,1,19,664,336
27961,1,19,1331,336
27962,1,19,1615,337
27963,1,19,2771,337
27964,1,19,2970,338
27965,1,19,565,339
27966,1,19,1605,339
27967,1,19,1466,341
27968,1,19,2810,341
27969,1,19,881,342
27970,1,19,2195,343
27971,1,19,2441,343
27972,1,19,2702,343
27973,1,19,1160,345
27974,1,19,1576,345
27975,1,19,353,346
27976,1,19,2872,348
27977,1,19,2865,349
27978,1,19,783,351
27979,1,19,1765,351
27980,1,19,2221,351
27981,1,19,537,352
27982,1,19,825,353
27983,1,19,2697,354
27984,1,19,1868,355
27985,1,19,2835,355
27986,1,19,593,356
27987,1,19,1750,356
27988,1,19,1537,357
27989,1,19,1740,357
27990,1,19,2433,360
27991,1,19,810,362
27992,1,19,2647,362
27993,1,19,878,363
27994,1,19,1290,363
27995,1,19,2394,366
27996,1,19,1898,368
27997,1,19,844,370
27998,1,19,2177,370
27999,1,19,794,371
28000,1,19,708,372
28001,1,19,2570,372
28002,1,19,2799,372
28003,1,19,2552,374
28004,1,19,2464,375
28005,1,19,1189,377
28006,1,19,2574,377
28007,1,19,1330,379
28008,1,19,2703,379
28009,1,19,1376,380
28010,1,19,2973,380
28011,1,19,1640,383
28012,1,19,1040,384
28013,1,19,1895,384
28014,1,19,2947,384
28015,1,19,472,385
28016,1,19,2127,385
28017,1,19,772,386
28018,1,19,1202,386
28019,1,19,1791,386
28020,1,19,2194,387
28021,1,19,2463,388
28022,1,19,1109,389
28023,1,19,903,391
28024,1,19,968,392
28025,1,19,628,394
28026,1,19,1954,395
28027,1,19,2931,395
28028,1,19,521,396
28029,1,19,471,397
28030,1,19,1221,398
28031,1,19,2889,398
28032,1,19,2410,399
28033,1,19,553,401
28034,1,19,1704,402
28035,1,19,1006,404
28036,1,19,2487,404
28037,1,19,460,405
28038,1,19,1856,405
28039,1,19,629,406
28040,1,19,2628,406
28041,1,19,446,410
28042,1,19,467,411
28043,1,19,968,411
28044,1,19,1152,411
28045,1,19,926,412
28046,1,19,1258,412
28047,1,19,2936,412
28048,1,19,1925,413
28049,1,19,1765,414
28050,1,19,1729,415
28051,1,19,2475,415
28052,1,19,2610,415
28053,1,19,1124,416
28054,1,19,1905,416
28055,1,19,782,417
28056,1,19,2263,417
28057,1,19,1703,418
28058,1,19,1938,418
28059,1,19,2008,419
28060,1,19,835,421
28061,1,19,1966,422
28062,1,19,1427,424
28063,1,19,1984,424
28064,1,19,2087,424
28065,1,19,2898,424
